[INFO] Scanning for projects...
[INFO] 
[INFO] ----------------------< com.cs122b.team53:songs >-----------------------
[INFO] Building songs 1.0-SNAPSHOT
[INFO] --------------------------------[ war ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.6.0:java (default-cli) @ songs ---
--------------------------------------------
-------------------Parsing------------------
--------------------------------------------

[Duplicate] -TrackMeta- id: 5p1ex0pXv6jSPJ6QbumQpD duration: 152913 ...
[Duplicate] -TrackMeta- id: 1KGi9sZVMeszgZOWivFpxs duration: 214400 ...
[Duplicate] -TrackMeta- id: 0EMmVUYs9ZZRHtlADB88uz duration: 287307 ...
[Duplicate] -TrackMeta- id: 5nNmj1cLH3r4aA4XDJ2bgY duration: 214827 ...
[Duplicate] -TrackMeta- id: 57nNNkgk768QVXq3uHxu5e duration: 215520 ...
[Duplicate] -TrackMeta- id: 4y3OI86AEP6PQoDE6olYhO duration: 181040 ...
[Duplicate] -TrackMeta- id: 7ef4DlsgrMEH11cDZd32M6 duration: 214847 ...
[Duplicate] -TrackMeta- id: 5Z3GHaZ6ec9bsiI5BenrbY duration: 202547 ...
[Duplicate] -TrackMeta- id: 2gSyc23Hua25fqSFpgAh6W duration: 271333 ...
[Duplicate] -TrackMeta- id: 1wjzFQodRWrPcQ0AnYnvQ9 duration: 197437 ...
[Duplicate] -TrackMeta- id: 3B54sVLJ402zGa6Xm4YGNe duration: 233902 ...
[Duplicate] -TrackMeta- id: 4ZOyH6KjomjlqCz3oFqglr duration: 187840 ...
[Duplicate] -TrackMeta- id: 6I9VzXrHxO9rA9A5euc8Ak duration: 198800 ...
[Duplicate] -TrackMeta- id: 2TVxnKdb3tqe1nhQWwwZCO duration: 377093 ...
[Duplicate] -TrackMeta- id: 2jdAk8ATWIL3dwT47XpRfu duration: 242000 ...
[Duplicate] -TrackMeta- id: 6oJ6le65B3SEqPwMRNXWjY duration: 228267 ...
[Duplicate] -TrackMeta- id: 62LJFaYihsdVrrkgUOJC05 duration: 226240 ...
[Duplicate] -TrackMeta- id: 4o6BgsqLIBViaGVbx5rbRk duration: 190627 ...
[Duplicate] -TrackMeta- id: 5JEx7HbmvHQQswJCsoo9rA duration: 182623 ...
[Duplicate] -TrackMeta- id: 5tAa8Uaqr4VvA3693mbIhU duration: 190932 ...
[Duplicate] -TrackMeta- id: 5ihS6UUlyQAfmp48eSkxuQ duration: 199493 ...
[Duplicate] -TrackMeta- id: 1BECwm5qkaBwlbfo4kpYx8 duration: 203507 ...
[Duplicate] -TrackMeta- id: 4vUmTMuQqjdnvlZmAH61Qk duration: 204467 ...
[Duplicate] -TrackMeta- id: 2aksifNn5ph8igDOkPBA02 duration: 224000 ...
[Duplicate] -TrackMeta- id: 5SxkdsY1ufZzoq9iXceLw9 duration: 205947 ...
[Duplicate] -TrackMeta- id: 3dhjNA0jGA8vHBQ1VdD6vV duration: 269187 ...
[Duplicate] -TrackMeta- id: 2G7V7zsVDxg1yRsu7Ew9RJ duration: 217925 ...
[Duplicate] -TrackMeta- id: 4TBBPZks71c60whhq0PgdP duration: 181067 ...
[Duplicate] -TrackMeta- id: 2p8IUWQDrpjuFltbdgLOag duration: 361027 ...
[Duplicate] -TrackMeta- id: 25cUhiAod71TIQSNicOaW3 duration: 193147 ...
[Duplicate] -TrackMeta- id: 1M321puDN1WBd5NF0ogOKW duration: 153857 ...
[Duplicate] -TrackMeta- id: 0rKtyWc8bvkriBthvHKY8d duration: 209274 ...
[Duplicate] -TrackMeta- id: 4rv1ww0dUwFZcDVPqhcOcX duration: 221107 ...
[Duplicate] -TrackMeta- id: 3kxfsdsCpFgN412fpnW85Y duration: 326933 ...
[Duplicate] -TrackMeta- id: 4ZLzoOkj0MPWrTLvooIuaa duration: 179080 ...
[Duplicate] -TrackMeta- id: 376Gg7Oxo5C5jUWDWpVXeI duration: 200600 ...
[Duplicate] -TrackMeta- id: 1A6OTy97kk0mMdm78rHsm8 duration: 158053 ...
[Duplicate] -TrackMeta- id: 5mCPDVBb16L4XQwDdbRUpz duration: 298941 ...
[Duplicate] -TrackMeta- id: 6PGoSes0D9eUDeeAafB2As duration: 213400 ...
[Duplicate] -TrackMeta- id: 7DfFc7a6Rwfi3YQMRbDMau duration: 200747 ...
[Duplicate] -TrackMeta- id: 1RMJOxR6GRPsBHL8qeC2ux duration: 209831 ...
[Duplicate] -TrackMeta- id: 5fohLPNqO6TqwrZ7BoUWUT duration: 247227 ...
[Duplicate] -TrackMeta- id: 4H7WNRErSbONkM06blBoGc duration: 204427 ...
[Duplicate] -TrackMeta- id: 7kQkmyoHCEqwe7QwDbkSXM duration: 190348 ...
[Duplicate] -TrackMeta- id: 3GJ4hzg4lrGwU51Y3VARbF duration: 213387 ...
[Duplicate] -TrackMeta- id: 2rxQMGVafnNaRaXlRMWPde duration: 193200 ...
[Duplicate] -TrackMeta- id: 567gPvGfxxKoZxDKqM9tEl duration: 253084 ...
[Duplicate] -TrackMeta- id: 2u7Nm46dAujcAi5Rw79CJL duration: 182493 ...
[Duplicate] -TrackMeta- id: 1HXy5I3HTWq8OvxCn0z7G7 duration: 179507 ...
[Duplicate] -TrackMeta- id: 5kNe7PE09d6Kvw5pAsx23n duration: 227427 ...
[Duplicate] -TrackMeta- id: 10M2Ex445zw585Ducldzkw duration: 224853 ...
[Duplicate] -TrackMeta- id: 5aj0xPGiEUN3aI2oOYu14S duration: 221173 ...
[Duplicate] -TrackMeta- id: 39KG4kom3enSx4GTThuDGt duration: 199120 ...
[Duplicate] -TrackMeta- id: 2xyx0o4xNOLLjBSbOOdcbA duration: 143227 ...
[Duplicate] -TrackMeta- id: 6ZRuF2n1CQxyxxAAWsKJOy duration: 201788 ...
[Duplicate] -TrackMeta- id: 43PuMrRfbyyuz4QpZ3oAwN duration: 194613 ...
[Duplicate] -TrackMeta- id: 26ki4lMdLzTO8g3aoYrb8P duration: 143830 ...
[Duplicate] -TrackMeta- id: 4tGjoffVHvUvb5RDE60sjX duration: 240065 ...
[Duplicate] -TrackMeta- id: 248OFOZef6ShXv6DGgbnxU duration: 206533 ...
[Duplicate] -TrackMeta- id: 10VBBaul4zVD0reteuIHM2 duration: 322160 ...
[Duplicate] -TrackMeta- id: 6GatnDEhYQLOdRzdVbJaky duration: 300729 ...
[Duplicate] -TrackMeta- id: 5LKzqs734Xs528hqK8bGS1 duration: 174947 ...
[Duplicate] -TrackMeta- id: 5dXI2NV7X2c4anyLFbQdEX duration: 191000 ...
[Duplicate] -TrackMeta- id: 4ve2uzqdwnHr20G5YgMMqr duration: 226693 ...
[Duplicate] -TrackMeta- id: 6In6SkveIw26thdYRhHTVX duration: 172320 ...
[Duplicate] -TrackMeta- id: 1It1TxBK3xIQAB4xJkPevn duration: 250454 ...
[Duplicate] -TrackMeta- id: 0JXXNGljqupsJaZsgSbMZV duration: 195373 ...
[Duplicate] -TrackMeta- id: 14SaZBTjxlorHJQxXh01Hu duration: 222374 ...
[Duplicate] -TrackMeta- id: 60ynsPSSKe6O3sfwRnIBRf duration: 226987 ...
[Duplicate] -TrackMeta- id: 4LkLfPYc3yjOta7Gk8FDRB duration: 246240 ...
[Duplicate] -TrackMeta- id: 5OGs816LFBGj0qS0jY68hL duration: 263314 ...
[Duplicate] -TrackMeta- id: 2Ch7LmS7r2Gy2kc64wv3Bz duration: 260253 ...
[Duplicate] -TrackMeta- id: 5NijSs5dAwaIybq1GaRTIe duration: 212992 ...
[Duplicate] -TrackMeta- id: 6lzLjIOyWTyTJvk0jraYee duration: 248467 ...
[Duplicate] -TrackMeta- id: 75ZvA4QfFiZvzhj2xkaWAh duration: 223347 ...
[Duplicate] -TrackMeta- id: 3pXF1nA74528Edde4of9CC duration: 198293 ...
[Duplicate] -TrackMeta- id: 4eSGSqP2TZvvX0kadZZttM duration: 265120 ...
[Duplicate] -TrackMeta- id: 4at3d5QWnlibMVN75ECDrp duration: 240342 ...
[Duplicate] -TrackMeta- id: 3TpXajg1nKzG3ngc9tBwrD duration: 210240 ...
[Duplicate] -TrackMeta- id: 1AROE0XcC4ySCxXF65mutZ duration: 250001 ...
[Duplicate] -TrackMeta- id: 7dQeS4ErW1iWvnKdrtKwKr duration: 183022 ...
[Duplicate] -TrackMeta- id: 5KdhJG3BXUmLoO4JdycCPw duration: 235477 ...
[Duplicate] -TrackMeta- id: 4c2xt1trwYZpMqPWY35Xi9 duration: 262453 ...
[Duplicate] -TrackMeta- id: 6R6ihJhRbgu7JxJKIbW57w duration: 243238 ...
[Duplicate] -TrackMeta- id: 1GpSXGBCDDHKRrOTqg4jdr duration: 347587 ...
[Duplicate] -TrackMeta- id: 6fbYL76UWbHdYq4B91TPQi duration: 211205 ...
[Duplicate] -TrackMeta- id: 3eze1OsZ1rqeXkKStNfTmi duration: 219683 ...
[Duplicate] -TrackMeta- id: 6mzaCRuLTRiz1caGOum3zT duration: 262521 ...
[Duplicate] -TrackMeta- id: 6VwBbL8CzPiC4QV66ay7oR duration: 323747 ...
[Duplicate] -TrackMeta- id: 6olUplztLFFfU7fMYmFXOP duration: 252013 ...
[Duplicate] -TrackMeta- id: 6N3qHjcwly8ZuhE4bPYJAX duration: 277297 ...
[Duplicate] -TrackMeta- id: 5ACkknqH2GcrVtmBB7LaRv duration: 219692 ...
[Duplicate] -TrackMeta- id: 6lJ5aSxKHCwNBoWkZT3JeJ duration: 261703 ...
[Duplicate] -TrackMeta- id: 26OhjtaTamFocE08t83ml6 duration: 161985 ...
[Duplicate] -TrackMeta- id: 7JXZq0JgG2zTrSOAgY8VMC duration: 320400 ...
[Duplicate] -TrackMeta- id: 4sw7dHjD6EsGs0d57AHgdy duration: 238320 ...
[Duplicate] -TrackMeta- id: 13wNEvWmBsWaWVtiLPRIW5 duration: 230027 ...
[Duplicate] -TrackMeta- id: 3ibKnFDaa3GhpPGlOUj7ff duration: 256733 ...
[Duplicate] -TrackMeta- id: 1CAALs08dWg3BxFMaaS8qK duration: 183454 ...
[Duplicate] -TrackMeta- id: 58nciIyr5vKpUJkUXXkxCq duration: 209185 ...
[Duplicate] -TrackMeta- id: 6XOin64PR2Oj4W0tO8GOQv duration: 224000 ...
[Duplicate] -TrackMeta- id: 5zrZHMklhOXABpnBl0EMBN duration: 302347 ...
[Duplicate] -TrackMeta- id: 67kXYrMTQbS7MVbXyGyxHm duration: 170680 ...
[Duplicate] -TrackMeta- id: 0C0nNm2RDKbANnU4lLfkSc duration: 269268 ...
[Duplicate] -TrackMeta- id: 3F1gjSkTX9kvxOo6BnlRNd duration: 225780 ...
[Duplicate] -TrackMeta- id: 1SuznrYulmD8HMZrenI0VU duration: 200627 ...
[Duplicate] -TrackMeta- id: 5rgrBsAFYMun6yhtnLKRPz duration: 249320 ...
[Duplicate] -TrackMeta- id: 6u0dQik0aif7FQlrhycG1L duration: 312427 ...
[Duplicate] -TrackMeta- id: 47Bg6IrMed1GPbxRgwH2aC duration: 262231 ...
[Duplicate] -TrackMeta- id: 1oGdVdYjeQvojGKDddxLQQ duration: 206013 ...
[Duplicate] -TrackMeta- id: 4cRBqWBjuccCowYVHFlXK6 duration: 333947 ...
[Duplicate] -TrackMeta- id: 0PXp9QxBfSKGGpWUNaws2X duration: 251860 ...
[Duplicate] -TrackMeta- id: 54Yappwod1fELR5zb2gDBn duration: 206080 ...
[Duplicate] -TrackMeta- id: 2X1EWoKi6oqSMfi0CxorOY duration: 252893 ...
[Duplicate] -TrackMeta- id: 1Bqxj0aH5KewYHKUg1IdrF duration: 222467 ...
[Duplicate] -TrackMeta- id: 58dSdjfEYNSxte1aNVxuNf duration: 314358 ...
[Duplicate] -TrackMeta- id: 6k7b4mcxLP5HPo6hNoXoM6 duration: 224720 ...
[Duplicate] -TrackMeta- id: 3p0Y1C5jhaqyKW7d9oskXA duration: 178773 ...
